"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Stirling,female,50 to 54,34.02144,33.43748,34.61,,,
Stirling,female,55 to 59,29.40247,28.83357,29.97,,,
Stirling,female,60 to 64,24.97608,24.42771,25.52,,,
Stirling,female,65 to 69,20.91009,20.39638,21.42,,,
Stirling,female,70 to 74,16.66305,16.17079,17.16,,,
Stirling,female,75 to 79,12.81758,12.34509,13.29,,,
Stirling,female,80 to 84,9.55413,9.09801,10.01,,,
Stirling,female,85 to 89,6.78026,6.30323,7.26,,,
Stirling,female,90+,5,4.3934,5.61,,,
Stirling,male,less than 1,78.08962,77.31161,78.87,,,
Stirling,male,1 to 4,77.15957,76.39304,77.93,,,
Stirling,male,5 to 9,73.15957,72.39304,73.93,,,
Stirling,male,10 to 14,68.15957,67.39304,68.93,,,
Stirling,male,15 to 19,63.26471,62.51093,64.02,,,
Stirling,male,20 to 24,58.40467,57.66598,59.14,,,
Stirling,male,25 to 29,53.65369,52.93214,54.38,,,
Stirling,male,30 to 34,48.91632,48.21439,49.62,,,
Stirling,male,35 to 39,44.33741,43.6747,45.00,,,
Stirling,male,40 to 44,39.88936,39.27556,40.50,,,
Stirling,male,45 to 49,35.18686,34.59652,35.78,,,
Stirling,male,50 to 54,30.58463,30.01486,31.15,,,
Stirling,male,55 to 59,26.09806,25.54728,26.65,,,
Stirling,male,60 to 64,21.81907,21.29058,22.35,,,
Stirling,male,65 to 69,17.82945,17.33086,18.33,,,
Stirling,male,70 to 74,14.3214,13.85184,14.79,,,
Stirling,male,75 to 79,10.80321,10.35513,11.25,,,
Stirling,male,80 to 84,8.05696,7.62754,8.49,,,
Stirling,male,85 to 89,5.48966,5.0452,5.93,,,
Stirling,male,90+,3.57143,2.94782,4.20,,,
Strathkelvin and Bearsden,female,less than 1,82.75241,82.02787,83.48,,,
Strathkelvin and Bearsden,female,1 to 4,81.82749,81.11739,82.54,,,
Strathkelvin and Bearsden,female,5 to 9,77.95099,77.26072,78.64,,,
Strathkelvin and Bearsden,female,10 to 14,73.0083,72.32671,73.69,,,
Strathkelvin and Bearsden,female,15 to 19,68.1216,67.45726,68.79,,,
Strathkelvin and Bearsden,female,20 to 24,63.2276,62.57862,63.88,,,
Strathkelvin and Bearsden,female,25 to 29,58.37197,57.74235,59.00,,,
Strathkelvin and Bearsden,female,30 to 34,53.50603,52.89345,54.12,,,
Strathkelvin and Bearsden,female,35 to 39,48.67376,48.08163,49.27,,,
Strathkelvin and Bearsden,female,40 to 44,43.73971,43.15383,44.33,,,
Strathkelvin and Bearsden,female,45 to 49,38.99841,38.43376,39.56,,,
Strathkelvin and Bearsden,female,50 to 54,34.28106,33.7318,34.83,,,
Strathkelvin and Bearsden,female,55 to 59,29.83276,29.3062,30.36,,,
Strathkelvin and Bearsden,female,60 to 64,25.32287,24.81251,25.83,,,
Strathkelvin and Bearsden,female,65 to 69,21.08757,20.60177,21.57,,,
Strathkelvin and Bearsden,female,70 to 74,17.11437,16.65538,17.57,,,
Strathkelvin and Bearsden,female,75 to 79,13.37819,12.94265,13.81,,,
Strathkelvin and Bearsden,female,80 to 84,9.9462,9.52692,10.37,,,
Strathkelvin and Bearsden,female,85 to 89,6.89433,6.462,7.33,,,
Strathkelvin and Bearsden,female,90+,4.85424,4.30029,5.41,,,
Strathkelvin and Bearsden,male,less than 1,80.02851,79.26942,80.79,,,
Strathkelvin and Bearsden,male,1 to 4,79.09271,78.34352,79.84,,,
Strathkelvin and Bearsden,male,5 to 9,75.21414,74.48291,75.95,,,
Strathkelvin and Bearsden,male,10 to 14,70.26706,69.54269,70.99,,,
Strathkelvin and Bearsden,male,15 to 19,65.26706,64.54269,65.99,,,
Strathkelvin and Bearsden,male,20 to 24,60.31267,59.59331,61.03,,,
Strathkelvin and Bearsden,male,25 to 29,55.38992,54.67762,56.10,,,
Strathkelvin and Bearsden,male,30 to 34,50.58066,49.88568,51.28,,,
Strathkelvin and Bearsden,male,35 to 39,45.78229,45.10724,46.46,,,
Strathkelvin and Bearsden,male,40 to 44,41.09984,40.4525,41.75,,,
Strathkelvin and Bearsden,male,45 to 49,36.76162,36.16517,37.36,,,
Strathkelvin and Bearsden,male,50 to 54,32.09243,31.5142,32.67,,,
Strathkelvin and Bearsden,male,55 to 59,27.50539,26.94221,28.07,,,
Strathkelvin and Bearsden,male,60 to 64,23.33468,22.79554,23.87,,,
Strathkelvin and Bearsden,male,65 to 69,19.07711,18.55639,19.60,,,
Strathkelvin and Bearsden,male,70 to 74,15.23652,14.7349,15.74,,,
Strathkelvin and Bearsden,male,75 to 79,11.86336,11.37661,12.35,,,
Strathkelvin and Bearsden,male,80 to 84,9.12123,8.63941,9.60,,,
Strathkelvin and Bearsden,male,85 to 89,6.53468,6.00108,7.07,,,
Strathkelvin and Bearsden,male,90+,4.63576,3.89635,5.38,,,
Uddingston and Bellshill,female,less than 1,79.77893,79.03877,80.52,,,
Uddingston and Bellshill,female,1 to 4,78.92462,78.21119,79.64,,,
Uddingston and Bellshill,female,5 to 9,74.92462,74.21119,75.64,,,
Uddingston and Bellshill,female,10 to 14,70.09765,69.4099,70.79,,,
Uddingston and Bellshill,female,15 to 19,65.20385,64.53096,65.88,,,
Uddingston and Bellshill,female,20 to 24,60.20385,59.53096,60.88,,,
Uddingston and Bellshill,female,25 to 29,55.24915,54.58161,55.92,,,
Uddingston and Bellshill,female,30 to 34,50.36297,49.70654,51.02,,,
Uddingston and Bellshill,female,35 to 39,45.55445,44.91352,46.20,,,
Uddingston and Bellshill,female,40 to 44,40.86527,40.24659,41.48,,,
Uddingston and Bellshill,female,45 to 49,36.21451,35.62004,36.81,,,
Uddingston and Bellshill,female,50 to 54,31.59134,31.01488,32.17,,,
Uddingston and Bellshill,female,55 to 59,27.05532,26.49587,27.61,,,
Uddingston and Bellshill,female,60 to 64,22.75768,22.2179,23.30,,,
Uddingston and Bellshill,female,65 to 69,18.72937,18.21469,19.24,,,
Uddingston and Bellshill,female,70 to 74,15.01784,14.5311,15.50,,,
Uddingston and Bellshill,female,75 to 79,11.71583,11.25651,12.18,,,
Uddingston and Bellshill,female,80 to 84,8.83559,8.40003,9.27,,,
Uddingston and Bellshill,female,85 to 89,6.09831,5.64982,6.55,,,
Uddingston and Bellshill,female,90+,4.11765,3.52747,4.71,,,
Uddingston and Bellshill,male,less than 1,75.52556,74.72209,76.33,,,
Uddingston and Bellshill,male,1 to 4,74.64802,73.86138,75.43,,,
Uddingston and Bellshill,male,5 to 9,70.70697,69.92821,71.49,,,
Uddingston and Bellshill,male,10 to 14,65.70697,64.92821,66.49,,,
Uddingston and Bellshill,male,15 to 19,60.75579,59.98234,61.53,,,
Uddingston and Bellshill,male,20 to 24,55.93657,55.18128,56.69,,,
Uddingston and Bellshill,male,25 to 29,51.08968,50.34728,51.83,,,
Uddingston and Bellshill,male,30 to 34,46.54324,45.83603,47.25,,,
Uddingston and Bellshill,male,35 to 39,41.95495,41.27747,42.63,,,
Uddingston and Bellshill,male,40 to 44,37.39913,36.74993,38.05,,,
Uddingston and Bellshill,male,45 to 49,33.08718,32.47926,33.70,,,
Uddingston and Bellshill,male,50 to 54,28.76078,28.18188,29.34,,,
Uddingston and Bellshill,male,55 to 59,24.3666,23.80732,24.93,,,
Uddingston and Bellshill,male,60 to 64,20.15642,19.61654,20.70,,,
Uddingston and Bellshill,male,65 to 69,16.32664,15.81224,16.84,,,
Uddingston and Bellshill,male,70 to 74,12.81921,12.32277,13.32,,,
Uddingston and Bellshill,male,75 to 79,9.48858,8.99817,9.98,,,
Uddingston and Bellshill,male,80 to 84,7.33785,6.83192,7.84,,,
Uddingston and Bellshill,male,85 to 89,5.4847,4.89117,6.08,,,
Uddingston and Bellshill,male,90+,4.46988,3.50824,5.43,,,
,,,,,,,,
© Crown copyright 2019,,,,,,,,
